Name,MSE_lin,SE_lin,MSE_cv,SE_cv,EV_test
NASA,0.8934116556881806,0.08117745397194595,0.893014659455815,0.08120352806695441,0.7619768870909671
ICLR 2023,1.5182595360949422,0.04329255108864007,1.4914565326692504,0.04298222897130312,1.461760444349186
ICLR 2024,1.530623983276604,0.05091876885978259,1.4624331561523274,0.04240166682465604,1.437746424573986
ICLR 2025,1.2795959388599394,0.018876716347343767,1.2571814973655553,0.018672774219662257,1.2481966655479555
All - 2019,0.24511094460498709,0.0038885930218471604,0.21676203587311083,0.0033088485582759898,0.18090353832056588
Business,0.20906735395760628,0.003590998180619427,0.19238868293300926,0.003064063059954246,0.15801318848603454
Couples,0.18022791079426567,0.0025945446457202952,0.16554524787019176,0.00230516913263054,0.13797686060047593
Family,0.21856605901779652,0.0025438816519358816,0.20035724156291262,0.002255980392561753,0.1712833805436544
gpt-4o,0.3568373512333059,0.010725367839620768,0.3153713788987329,0.011053753701207947,0.3148172432165297
llama-3.1-70b,1.148572873262885,0.01814764077493773,1.1344172963622843,0.01811491351512797,1.1309023763472774
human,1.2940272148957526,0.02534680313919032,1.2808913313623738,0.02514678446221291,1.2594011965312544
